"Map","Archetype","Hash","Kind","Ytyp","Asset","Texture","Physics","Status"
"cdd","hash_DE10330F","HASH_DE10330F","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_DE10330F","hash_DE10330F","hash_DE10330F","defined"
"cdd","hash_051736B5","HASH_051736B5","direct","","[ydr]\quebradashop_caveirao.ydr","","","matched"
"cdd","hash_051736B5","HASH_051736B5","Drawable","[ytyp]\favela_quebradashop.ytyp","hash_051736B5","hash_051736B5","hash_051736B5","defined"
"cdd","hash_B261E770","HASH_B261E770","direct","","[ydr]\igrejavb.ydr","","","matched"
"cdd","hash_B261E770","HASH_B261E770","Drawable","[ytyp]\cs_hlun_lod.ytyp","hash_B261E770","hash_B77608F1","hash_B261E770","defined"
"cdd","hash_FBBE41FB","HASH_FBBE41FB","unknown","","","","","native_or_missing"
"cdd","hash_1795A065","HASH_1795A065","unknown","","","","","native_or_missing"
"cdd","hash_D011918B","HASH_D011918B","unknown","","","","","native_or_missing"
"cdd","hash_9AB4B20E","HASH_9AB4B20E","unknown","","","","","native_or_missing"
"cdd","hash_3CA7F7B4","HASH_3CA7F7B4","unknown","","","","","native_or_missing"
"cdd","hash_C18B8FA3","HASH_C18B8FA3","unknown","","","","","native_or_missing"
"cdd","hash_4C61D617","HASH_4C61D617","unknown","","","","","native_or_missing"
"cdd","hash_79398794","HASH_79398794","unknown","","","","","native_or_missing"
"cdd","hash_2AF48258","HASH_2AF48258","direct","","[ydr]\lojaroupavb.ydr","","","matched"
"cdd","hash_2AF48258","HASH_2AF48258","Drawable","[ytyp]\detailrua1.ytyp","hash_2AF48258","hash_B77608F1","hash_2AF48258","defined"
"cdd","hash_7D251DE7","HASH_7D251DE7","direct","","[ydr]\qsv_51_clothing03.ydr","","","matched"
"cdd","hash_7D251DE7","HASH_7D251DE7","Drawable","[ydr]\qs_props.ytyp","hash_7D251DE7","hash_B82851B1","hash_7D251DE7","defined"
"cdd","hash_7D251DE7","HASH_7D251DE7","Drawable","[ytyp]\detailrua1.ytyp","hash_7D251DE7","hash_B82851B1","hash_7D251DE7","defined"
"cdd","hash_487C3496","HASH_487C3496","direct","","[ydr]\qsv_51_clothing07.ydr","","","matched"
