"Map","Scope","RelativePath","Extension","Bytes","SHA256"
"deus","exclusive","[ydr]\quebradashopgraf291.ydr",".ydr","270097","5244F1C7AB22A5C4999AA191F12CF05FF02F2DE97CA0DE67CCA8713B901F0B87"
"deus","exclusive","[ydr]\quebradashopgraf296.ydr",".ydr","210073","CE44E5C50822D10D42B6FFAA78B9208FE5F8AFDEEEC101D865784E1D7228B6F5"
"deus","exclusive","[ydr]\quebradashopgraf301.ydr",".ydr","170348","A68DBE61F32BF2C91C0AA8FDDE56A915C666014CAC910CEE173167D2FE6E738A"
"deus","exclusive","[ydr]\quebradashopgraf307.ydr",".ydr","156957","12732483A5701FF13DDCA67341102E1CB974DD3221563F0A0CE20603F5C83B78"
"deus","exclusive","[ydr]\quebradashopgraf322.ydr",".ydr","167571","6D6E7EF98304D4B46E5F25C4EFB41290A9D228E32731CEB8410805B14A901BB9"
"deus","exclusive","[ydr]\quebradashopgraf349.ydr",".ydr","173048","EA08B14E7BA8DAA6F50229C167C32C44CFD987AA6EE837409B0F06284637A7D4"
"deus","exclusive","[ydr]\quebradashopgraf372.ydr",".ydr","204537","66ED63335BE31FFA3EEF12BBC1958BDA35B93459F8C99345B96818BB4A8F9DDD"
"deus","exclusive","[ydr]\quebradashopgraf383.ydr",".ydr","157246","718B29E3477D801F72F69FE065CBEFED8A4B009DAFB717BA80184098B9A93BD8"
"deus","exclusive","[ydr]\quebradashopgraf391.ydr",".ydr","180826","2680C0D8E5509CB19A4531444C238884D69F0F96B641EA9992E2F0DA6F663302"
"deus","exclusive","[ydr]\quebradashopgraf500.ydr",".ydr","119587","6F38B9B29E3465F6ABD320551CCA0B50093EEDC3556A3A8FB4019610F5790673"
"deus","exclusive","[ydr]\quebradashopgraf511.ydr",".ydr","139033","C385E1194C5A31C6015E9D01EFD9596B14578D3D599255BF109DDDBE25E2D28D"
"deus","exclusive","[ydr]\quebradashopgraf513.ydr",".ydr","142168","D940C701A550C6071E3FD38AB81E70CE9400B96174BC47807BF3CCEDD03666D4"
"deus","exclusive","[ydr]\quebradashopgraf72.ydr",".ydr","119299","91B208095E67B81C5CAA20070FFF9F689E43D33060C46336C172980A249585E5"
"deus","exclusive","[ydr]\sky.ydr",".ydr","68408","2D9337F4AAF5C1CE18A0F4D65FA44107CA0FC1F5DD6DC467C49767A93C41DBC5"
"deus","exclusive","[ytd]\quebradafvqs.ytd",".ytd","5368501","7FBE600018C876558DCFC9DFE484DB1378D1C923E801ABED8F978ABD02648662"
"deus","shared","[ydr]\balanco.ydr",".ydr","43624","15671F25205460214FE2E6CA2CF98505D67FE02008D82B14A9FA546FA7C026D6"
"deus","shared","[ydr]\barracoqs10.ytyp",".ytyp","17060","E61E2BD241FA87A1DC481FB3E4A05CE1145AAC5B6CC0D6900AAE056211C6107F"
"deus","shared","[ydr]\caixaqs3.ydr",".ydr","113871","8BF8B80EFB5852C1E3E5F180E97FDF7E443A9D81892F1C2009C6A4F3947346A0"
"deus","shared","[ydr]\casas.ytd",".ytd","8469327","F3263139CF02C172FD7789A4B445649847C97D377F6D8C172C2C3E48712A08A7"
"deus","shared","[ydr]\escada_01.ydr",".ydr","8989","815C50F799B66C9F72F36CBFF589016C22072CFA9F7EB28C5666E089D43FBABF"
"deus","shared","[ydr]\fav_qs_lombada.ydr",".ydr","49385","422B2AA7F2A2AA84426E68B7B345385EB780D47B6A8EDE6B0226C38A264C60CA"
"deus","shared","[ydr]\golqs.ydr",".ydr","3215","C3719164DDEEAD6907AF277AE8D3B79498D04BF77D6FDB531A766B01EBDB7EB0"
"deus","shared","[ydr]\parque.ydr",".ydr","631694","213E93FA857DFBDE4EB79A4D2729CB56CFF264B56E3BABB5BD1679ACF32144B7"
"deus","shared","[ydr]\poste.ydr",".ydr","290688","8A997D531D1CA2F0792280FBD62F503E45E12B9A5A6609930149DBF4C1B0DD45"
"deus","shared","[ydr]\qs_escada01.ydr",".ydr","7871","CE3116C425528515E907599F3C1273960A2C6C48357562CDBAE63F8E771E2FA3"
"deus","shared","[ydr]\qs_escada2.ydr",".ydr","2371","6DFBFEE8F3F7F1583D66A573C8FEF5B7FFA2D346F906212500B95CF1B7F7A00E"
"deus","shared","[ydr]\qs_escada3.ydr",".ydr","12411","2D8142775CF3C15ECB815F433B61E44FBA324FB9FC5A6D5B603FFBA64BE365E3"
"deus","shared","[ydr]\qs_escada4.ydr",".ydr","126963","BC67E88D3C0AF75B95400C5AD3F0F1EECA32D57598A7243B5FF6FA2E8B6CA323"
"deus","shared","[ydr]\qs_escada4a.ydr",".ydr","126964","03A16C9B459CBF55E5F75D07B25B01D66696B59758CC11EB24B57D4B904BAB88"
"deus","shared","[ydr]\qs_props.ytyp",".ytyp","1044","5E336FB21501A9044A83DD2630753462D3B98875E58E9E664C31C937BEFCD6D7"
"deus","shared","[ydr]\qs_quadro.ytyp",".ytyp","687","A5106C261869F478ABC1F6FA2B13BE0F0F68592EE8C5C957833C1FBC9CDFBD3F"
"deus","shared","[ydr]\qs_quadro7.ydr",".ydr","91085","E1456E053484FFFBFCE1F1FD8E4578C6F99BBCD18F745D838718B3B3880E329A"
"deus","shared","[ydr]\qs30.ydr",".ydr","54340","7C8B22080855583711D4C810FAB6643B25B5D1681675149562BF0F36A1245DD7"
"deus","shared","[ydr]\qs44a.ydr",".ydr","43311","34FCC7FCA2B1ED112D01F35D238A57AB1DF10B7A085844E91ACB1C2399E3B7C6"
"deus","shared","[ydr]\qs44e.ydr",".ydr","43321","52715B3023D41F40B440B572C70B798EB60EB5285CC5F543A3272B2101C8AA5B"
"deus","shared","[ydr]\qs44m.ydr",".ydr","43310","BEDEA40B1FF94C0490BF066492423AA6A06957F6979F31B0BE483E137F46E16E"
"deus","shared","[ydr]\qs52.ydr",".ydr","142764","8794F252FE5E27C75C1DC77DEB2BE5F05D9404687EF0A1BFFABDAF0E798E817C"
"deus","shared","[ydr]\qsbalcao.ydr",".ydr","41401","3E3F349919E828987B4AE0E001BFB97EEC5AE74FA311B6D476D6E4598BEA26CB"
"deus","shared","[ydr]\qsbalcao2.ydr",".ydr","41426","30447E77FFFCDB6E44B61726971FBEA45201DC464533F4B38E701C3A4D263D73"
"deus","shared","[ydr]\qsbanca1.ydr",".ydr","136319","91A82FA966927CE83DCC03BBB0A2534B4DD6657E74C21AEC46057BA7BA0828C8"
"deus","shared","[ydr]\qsbanca2.ydr",".ydr","637329","ECE6C8CBD2848F0C27555F89C59D1DFF1FBF06AC2EC3D324600EC7F7FF8D1CB4"
"deus","shared","[ydr]\qsbarraco35.ydr",".ydr","40929","A6555DE0ECA4C2851EA6520CE958BCC1477876281569188E7CB56670EFC300F0"
"deus","shared","[ydr]\qsbarraco35a.ydr",".ydr","40947","B7413B8990BE2B5B57FD27D97DEBF86292AB7EB6814C6248122CAE5F53CBCF14"
"deus","shared","[ydr]\qsbarraco37a.ydr",".ydr","91168","81AE84A7442742412CA57D94C1E34F9131D330A758B588080F8FBA146F700E4C"
"deus","shared","[ydr]\qsbarraco52e.ydr",".ydr","151357","CE7F34AB7A348E3DB7B86C727B98FD37672FA03E75B8F0F57F86C17B780C91A2"
"deus","shared","[ydr]\qsbarraco53.ydr",".ydr","39826","083A69323F226D94650539EC0DEC489DFF9E87B0EF061ACF5A578B26D01E41AF"
"deus","shared","[ydr]\qsbarraco57b.ydr",".ydr","36818","132CFB71056244B3ACFF74076480551DA9588FBBEB08A9DA8D393C9EC837A840"
"deus","shared","[ydr]\qsbarraco58c.ydr",".ydr","32951","A04D505BE6A2268EB08D84ADAA6181E56F58B4DA656588DC24404A09C98BBF2A"
