"Resource","RuntimeClass","Started","StartDetail","Manifest","Files","SizeMB","StreamFiles","StreamMB","GitTrackedSource","DependencyHints","ContentSHA256","OriginLicense"
"[vehicles]/vehicleAll","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","938","1392,5","863","1307,05","False","shared_script '@likizao_ac/client/library.lua'","337E9C420FA9F1BB66139F6F7C47D69254236C5535A793CF830FA4893DA679F2","UNVERIFIED"
"[vehicles]/vehiclesBennys","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","22","43,37","6","43,21","False","","E64AF585AB27C522B24DCEC992741637D64BF836A8DC605FF8CA6DEDA658504A","UNVERIFIED"
"[vehicles]/vehiclesHospital","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","13","34,42","8","34,33","True","shared_script ""@ThnAC/natives.lua""","986D0493F4EC84B8D008BFA10AC6C6BEED7CA5A7F58D64252971B42049B460F9","UNVERIFIED"
"[vehicles]/vehiclesPolice","TRACKED_SOURCE_EXTERNAL_ASSETS","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","61","199,66","24","199,39","True","client_script ""@vrp/lib/lib.lua"" --Para remover esta pendencia de todos scripts, execute no console o comando ""uninstall""","7D0407541D4C6FFA6D65D28232B500DA4499E958051C10596F406443F7507452","UNVERIFIED"
"[vehicles]/veiculosvip","RUNTIME_EXTERNAL","True","start [vehicles] [GROUP] line 36","fxmanifest.lua","1764","2098,67","925","1908,17","False","shared_script ""@ThnAC/natives.lua"" | shared_script ""@vrp/lib/lib.lua"" --Para remover esta pendencia de todos scripts, execute no console o comando ""uninstall""","D045D36D7166333010594462BE6BE68F9F7CE3710867DD774F0EC236A737EFA5","UNVERIFIED"
"[weapons]/WEAPON_BRICK","RUNTIME_EXTERNAL","True","start [weapons] [GROUP] line 31","fxmanifest.lua","8","0,26","3","0,24","False","","107C74931ED771364282B7585B8D4AAD432FA81486C424B8C38B7CFB7BB90DDD","UNVERIFIED"
"[weapons]/WEAPON_KATANA","RUNTIME_EXTERNAL","True","start [weapons] [GROUP] line 31","fxmanifest.lua","14","3,2","8","3,17","False","","428C736BC1567500BD697491F4ADDA5ED6FB577CA2E83E876DE9402C5D90F748","UNVERIFIED"
"[weapons]/WEAPON_METAS","RUNTIME_EXTERNAL","True","start [weapons] [GROUP] line 31","fxmanifest.lua","40","1,47","0","0","False","","8376F644AA21B119C4D6299A596C9E22D32F228E10278C8D324BFC0D6ADF1835","UNVERIFIED"
"[weapons]/WEAPON_SHOES","RUNTIME_EXTERNAL","True","start [weapons] [GROUP] line 31","fxmanifest.lua","8","0,11","3","0,09","False","","EAE9F6BBED75BBDB1283FA4B84FC7473D03C4B5B3CDD6F461D0DBEBF664BBF57","UNVERIFIED"
"[weapons]/WEAPON_SKINS","RUNTIME_EXTERNAL","True","start [weapons] [GROUP] line 31","fxmanifest.lua","12","27,17","9","27,17","False","","6A892846C8A9A68B192BEA43085B2938F4E7DAC2C5FF86E4754B8E6D122031F8","UNVERIFIED"
"af_clean_world","TRACKED_SOURCE","True","ensure af_clean_world [DIRECT] line 71","fxmanifest.lua","5","0","0","0","True","","7A9C5B17742C957DF9160EBD7AC410A8C7F48822E67775C8BAF8D7D75A335B20","UNVERIFIED"
"af_hospital_cura","TRACKED_SOURCE","True","ensure af_hospital_cura [DIRECT] line 79","fxmanifest.lua","4","0,01","0","0","True","","02E7D5D259813C8C50AD4700A7D5718E0EED34D740DA649586F2BFF89ADEA60E","UNVERIFIED"
"af_hpsamu","RUNTIME_EXTERNAL","True","ensure af_hpsamu [DIRECT] line 62","fxmanifest.lua","180","62,64","178","62,64","False","","0C347AC0EAA86E2BFA229C3C3AC52A48E702E9954F759C35E011EF0927C440E1","UNVERIFIED"
"af_live_events","TRACKED_SOURCE","True","ensure af_live_events [DIRECT] line 70","fxmanifest.lua","5","0,02","0","0","True","","38028B3E92487F7D0CB996BDF086B53D5D1DC070F70D9F0CDCBCF68FC8943958","UNVERIFIED"
"af_map_blips","TRACKED_SOURCE","True","ensure af_map_blips [DIRECT] line 74","fxmanifest.lua","6","0,05","0","0","True","","7971482AB5CCC8C0B498FFF869F36772982D8046ADF4FC15214A687F7C16895B","UNVERIFIED"
"af_menino_porteira","TRACKED_SOURCE_EXTERNAL_ASSETS","True","ensure af_menino_porteira [DIRECT] line 67","fxmanifest.lua","31","9,74","2","2,02","True","","DDBC257347244EA1062D29200D2CDA15E60FA4FADE30BCC56277BA8168EA2A52","UNVERIFIED"
"af_ofc","TRACKED_SOURCE","True","ensure af_ofc [DIRECT] line 76","fxmanifest.lua","8","0,08","0","0","True","dependencies { | ""@vrp/lib/Utils.lua"",","4E3B9500CEF1B58FC0697B50410BE798B4A77600555681E7293C2F7A1E556110","UNVERIFIED"
"af_ofc_fightclub","TRACKED_SOURCE_EXTERNAL_ASSETS","True","ensure af_ofc_fightclub [DIRECT] line 75","fxmanifest.lua","2","0","1","0","True","","000987FC8A1AB3C23EF69DDD532D3CD63FEF044CC5F93747B2FF6273DBB08877","UNVERIFIED"
"af_owner_panel","TRACKED_SOURCE","True","ensure af_owner_panel [DIRECT] line 72","fxmanifest.lua","11","0,24","0","0","True","shared_script ""@vrp/lib/Utils.lua"" | ""@vrp/config/Global.lua"", | ""@oxmysql/lib/MySQL.lua"",","279B3BBF3C4A6F0FB370EFE7870B62233679843F6C951DC379A784193803FB91","UNVERIFIED"
"af_starter_vehicle","TRACKED_SOURCE","True","ensure af_starter_vehicle [DIRECT] line 73","fxmanifest.lua","3","0","0","0","True","shared_script ""@vrp/lib/Utils.lua""","86BB21502B7798C258AF26E6883F2F5A503BB832602A415AFBE7B04A1687861C","UNVERIFIED"
"af_telao_asset","RUNTIME_EXTERNAL","True","ensure af_telao_asset [DIRECT] line 68","fxmanifest.lua","2","0","1","0","False","","F116F5814FE94F73BE0959741991E49399CD8DD39B2A259D6AA4969C09B5035A","UNVERIFIED"
"af_youtube_tv","TRACKED_SOURCE","True","ensure af_youtube_tv [DIRECT] line 69","fxmanifest.lua","14","0,21","0","0","True","dependency 'vrp' | '@vrp/lib/Utils.lua',","51249BA66A405CC2203E6CED16E64F92A6AF05D54007C03CAE0F21E49FE47762","UNVERIFIED"
"vrp","TRACKED_SOURCE","True","start vrp [DIRECT] line 25","fxmanifest.lua","422","3,99","0","0","True","","3EE13FB5D99B873CFBFA5148A46328B9A0A45300AB0460ABCA0360BD2A63A3A0","UNVERIFIED"
